UF;Zona;Partido;G�nero;Grau de escolaridade;Faixa et�ria;Quantitativo;Porcentagem (%);qt_nome_social;qt_deficientes;Data de carga
RS;1;AVANTE;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;1;1;0;0;2024-09-16 15:01:10
RS;1;AVANTE;MASCULINO;ENSINO M�DIO COMPLETO;35 a 44 anos;2;1;0;0;2024-09-16 15:01:10
RS;1;AVANTE;MASCULINO;ENSINO M�DIO INCOMPLETO;25 a 34 anos;1;1;0;0;2024-09-16 15:01:10
RS;1;AVANTE;MASCULINO;N�O INFORMADO;60 a 69 anos;1;1;0;0;2024-09-16 15:01:10
RS;1;AVANTE;MASCULINO;SUPERIOR INCOMPLETO;25 a 34 anos;1;0,5;0;0;2024-09-16 15:01:10
RS;1;AVANTE;MASCULINO;SUPERIOR INCOMPLETO;45 a 59 anos;1;0,5;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ANALFABETO;45 a 59 anos;1;1;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;35 a 44 anos;2;0,1429;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;3;0,2143;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;4;0,2857;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;4;0,2857;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;1;0,0714;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;2;0,1818;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;1;0,0909;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;5;0,4545;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;1;0,0909;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Superior a 79 anos;2;0,1818;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO M�DIO COMPLETO;25 a 34 anos;1;0,0313;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO M�DIO COMPLETO;35 a 44 anos;8;0,25;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO M�DIO COMPLETO;45 a 59 anos;10;0,3125;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO M�DIO COMPLETO;60 a 69 anos;9;0,2813;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO M�DIO COMPLETO;70 a 79 anos;2;0,0625;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO M�DIO COMPLETO;Superior a 79 anos;2;0,0625;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO M�DIO INCOMPLETO;25 a 34 anos;1;0,0476;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO M�DIO INCOMPLETO;35 a 44 anos;5;0,2381;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO M�DIO INCOMPLETO;45 a 59 anos;6;0,2857;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO M�DIO INCOMPLETO;60 a 69 anos;7;0,3333;0;1;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;ENSINO M�DIO INCOMPLETO;70 a 79 anos;2;0,0952;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;L� E ESCREVE;60 a 69 anos;2;0,5;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;L� E ESCREVE;70 a 79 anos;1;0,25;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;L� E ESCREVE;Superior a 79 anos;1;0,25;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;N�O INFORMADO;60 a 69 anos;1;1;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;SUPERIOR COMPLETO;35 a 44 anos;8;0,2162;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;SUPERIOR COMPLETO;45 a 59 anos;9;0,2432;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;SUPERIOR COMPLETO;60 a 69 anos;13;0,3514;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;SUPERIOR COMPLETO;70 a 79 anos;7;0,1892;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;21 a 24 anos;1;0,0556;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;35 a 44 anos;5;0,2778;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;45 a 59 anos;9;0,5;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;60 a 69 anos;3;0,1667;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;35 a 44 anos;1;0,0769;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;7;0,5385;0;0;2024-09-16 15:01:10
